onset	duration	trial_type
19.82	8	control
33.82	8	autobio
47.82	8	control
61.82	8	autobio
76.02	8	autobio
90.22	8	autobio
104.42	8	autobio
118.22	8	autobio
132.02	8	control
146.02	8	autobio
159.82	8	autobio
173.82	8	autobio
188.22	8	autobio
202.42	8	autobio
216.22	8	autobio
230.22	8	autobio
244.62	8	autobio
258.82	8	control
273.02	8	autobio
287.22	8	autobio
301.42	8	autobio
315.42	8	control
329.42	8	autobio
343.82	8	autobio
358.02	8	autobio
372.22	8	autobio
386.42	8	autobio
400.62	8	autobio
414.62	8	autobio
428.62	8	autobio
