onset	duration	trial_type
20.22	8	episodic
34.22	8	episodic
48.22	8	control
62.62	8	control
76.82	8	episodic
90.82	8	episodic
105.02	8	control
119.02	8	episodic
133.02	8	episodic
147.02	8	episodic
161.02	8	episodic
175.22	8	episodic
189.42	8	episodic
203.42	8	control
217.42	8	episodic
245.42	8	episodic
259.22	8	episodic
286.62	8	episodic
300.62	8	episodic
315.02	8	control
329.02	8	episodic
356.82	8	episodic
370.82	8	episodic
384.62	8	episodic
398.42	8	episodic
412.42	8	episodic
426.22	8	episodic
